Date,Open,High,Low,Close,Volume,Quote Asset Volume
2024-10-28,67992.70,70331.00,67584.20,69940.00,256128.622,17649920563.69780
2024-10-29,69939.90,73660.00,69733.00,72739.50,382502.060,27502269768.00910
2024-10-30,72739.50,72984.90,71444.20,72349.00,227108.808,16394681792.45450
2024-10-31,72349.00,72720.30,69705.00,70321.90,256485.328,18260860195.93380
2024-11-01,70321.90,71650.00,68822.50,69495.50,352591.088,24669697590.18230
2024-11-02,69495.40,69913.10,69022.80,69366.60,79314.105,5511280357.91500
2024-11-03,69366.60,69393.70,67446.60,68762.50,226477.376,15481140255.26100
2024-11-04,68762.50,69495.30,66810.00,67834.30,244912.166,16709405013.03920
2024-11-05,67834.40,70537.40,67454.20,69353.10,273070.870,18923323986.08670
2024-11-06,69353.10,76420.00,69272.70,75579.90,677440.286,50043233600.56650
2024-11-07,75579.90,76900.00,74450.00,75859.40,280675.033,21221666454.48560
2024-11-08,75859.40,77182.90,75576.30,76482.20,230370.324,17566203957.74340
2024-11-09,76482.20,76920.00,75683.20,76675.10,117754.034,8994277678.53300
2024-11-10,76675.10,81699.80,76501.10,80410.00,417426.899,33139797917.86550
2024-11-11,80409.90,89800.00,80261.20,88728.90,614141.662,51921309639.71370
2024-11-12,88729.00,90070.10,85159.90,87972.00,639481.584,56145246108.62860
2024-11-13,87972.00,93421.10,86180.00,90413.30,555288.297,49968681554.16390
2024-11-14,90413.30,91846.10,86714.00,87382.70,364621.680,32638189823.33260
2024-11-15,87382.60,91921.50,87111.00,91074.60,314431.908,28084223845.57620
2024-11-16,91074.60,91849.80,90120.00,90643.30,129023.447,11746506687.24780
2024-11-17,90643.20,91539.60,88736.10,89899.90,167504.792,15122853835.94620
2024-11-18,89900.00,92700.00,89422.10,90507.40,333557.110,30393971318.50500
2024-11-19,90507.40,93985.90,90405.60,92335.90,303532.031,27998124860.44330
2024-11-20,92335.90,94849.00,91500.00,94288.00,290044.227,27169810860.10570
2024-11-21,94288.00,99100.00,94008.70,98366.80,418383.136,40626855808.82080
2024-11-22,98366.80,99660.00,97199.90,98921.40,265774.067,26216909526.37850
2024-11-23,98921.50,98937.30,97173.50,97725.50,120358.422,11819741402.08440
2024-11-24,97725.60,98666.00,95822.10,97960.40,173118.840,16831814834.72900
2024-11-25,97960.50,98999.00,92666.00,93064.00,329375.021,31634790118.77920
2024-11-26,93064.00,95064.00,90866.40,92021.40,344929.233,32058954666.34630
2024-11-27,92021.50,97250.00,91864.00,95905.20,237005.987,22446169054.81160
2024-11-28,95905.20,96627.60,94700.10,95694.40,154007.026,14702795800.16060
2024-11-29,95694.40,98713.30,95404.50,97516.30,190520.949,18512741566.78610
2024-11-30,97516.20,97522.10,96150.00,96475.10,93074.218,9004708395.73830
2024-12-01,96475.20,97933.00,95736.50,97265.10,113222.990,10975143904.85590
2024-12-02,97265.00,98266.00,94400.00,95890.50,257613.911,24755123881.90790
2024-12-03,95890.60,96375.00,93605.00,95913.30,206601.980,19688305230.34510
2024-12-04,95913.30,99099.90,94650.80,98669.80,275949.205,26698552379.62400
2024-12-05,98669.80,104630.40,90200.00,97001.50,580277.391,58190879933.22300
2024-12-06,97001.60,101988.80,96429.50,99894.80,281577.594,27904073552.01290
